geom,rrdistance,parid,luc_desc,taxdist_desc
0106000020BC08000001000000010300000001000000050000000000005042F6204180C0CAA1E1233A41E026316866F52041A0EFA766DE233A41E0A7C62B64F52041A06E127304243A4160BC741340F62041C0A145AE07243A410000005042F6204180C0CAA1E1233A41,4506.554375763138,8011417,Vacant Residential,DELAND
0106000020BC08000001000000010300000001000000050000002006813565F62041205A64E38F213A41A0F1D24D89F52041E02631A88C213A4180976E1287F52041203108A4B2213A4100AC1CFA62F6204160643BDFB5213A412006813565F62041205A64E38F213A41,3912.837389113304,8011430,Vacant Residential,DELAND
0106000020BC080000010000000103000000010000000E00000080C0CAD16BFA204120B07268CD243A41A01804E68FF9204160BA4974CA243A412004568E8EF9204160E7FB71E3243A41D2CF11158FF92041E6BA8ACBE7243A4198A87D1C91F92041A1F87B08EC243A412F46D19494F92041857AD807F0243A4127DF0E6399F920416B1B88AAF3243A41301CD5619FF920417C9443D4F6243A418DDA8162A6F920416973706CF9243A4109E89C2EAEF92041737AE05EFB243A41EFB27F89B6F92041AA996E9CFC243A41600E2D32BFF9204160BC741BFD243A4100D34D2269FA2041A045B663FF243A4180C0CAD16BFA204120B07268CD243A41,4713.386632174133,8011468,Vacant Residential,DELAND
0106000020BC080000010000000103000000010000000D00000060E5D03251F42041A0C64B87CD273A410054E3F59BF3204160BA492C8F273A41008195636AF32041C0726831B3273A41F5BC96A263F32041E9CC1821B9273A41A3E3D7FF5EF32041552DB38DBF273A41128BF19D5CF32041C9094647C6273A415055AB8E5CF32041106BA11BCD273A41F13F77D25EF320415078CDD7D3273A415F516E5863F320410FD68649DA273A41B9BCCEFE69F3204145C2B540E0273A41E0CEF79372F3204100FED490E5273A4180C0CAC12EF42041E07A148EE6273A4160E5D03251F42041A0C64B87CD273A41,5454.099762570981,8011510,Vacant Residential,DELAND
0106000020BC0800000100000001030000000100000005000000A045B6B343B8234120DBF97E566F3A4160BC7453EFB72341E051B87E296F3A41A045B6B3C1B72341E051B87E3E6F3A41E0CEF71316B8234120DBF97E6B6F3A41A045B6B343B8234120DBF97E566F3A41,14712.821339148199,4910778,Single Family,PORT ORANGE
0106000020BC0800000100000001030000000100000005000000E0A3702D38F92041405EBA31E5233A41E0FBA9415CF82041C0CAA13DE2233A41408B6C375AF8204100AC1C3A08243A41A06E122336F9204120DD242E0B243A41E0A3702D38F92041405EBA31E5233A41,4497.603310294279,8011534,Vacant Residential,DELAND
0106000020BC0800000100000001030000000100000005000000803F35DE9CF72041E026312820223A41002B87F6C0F62041C0F3FDEC1C223A41400C02BBBEF62041A09BC4E842223A41C020B0A29AF72041E0CEF72346223A41803F35DE9CF72041E026312820223A41,4058.806333664421,8011558,Vacant Residential,DELAND
0106000020BC0800000100000001030000000100000005000000601058B97DFC20412031083441263A4140E17AC405FC204120B29D973F263A4160E5D052FFFB2041A0438B8CB7263A418014AE4777FC204180C2F528B9263A41601058B97DFC20412031083441263A41,5071.125919588493,8011573,Vacant Residential,DELAND
0106000020BC080000010000000103000000010000000B00000080BE9FAA1BFF2041A09BC45890263A41002B873680FE2041400AD7EB34263A41F3163AF56BFE204145E1702C3C263A41AF94DD9455FE204181A652A641263A4160BC74B33DFE204160E5D03245263A41A0438BBC6EFE204160E5D0AABA263A410CE1775D94FE20413020FBBFB5263A416D6FBBD3B8FE2041C01DAFFBAE263A41E0BD81C2DBFE20417C23276FA6263A41B74DDBD0FCFE2041C4FE26309C263A4180BE9FAA1BFF2041A09BC45890263A41,5059.032931364485,8011578,Vacant Residential,DELAND
0106000020BC0800000100000001030000000100000005000000C0CCCC0CC0FF204120D9CE1707243A4100AAF122D0FE2041A0C420E003243A41C01E85EBCCFE204180BE9FDA3F243A41E07C3FD5BCFF2041600E2D1243243A41C0CCCC0CC0FF204120D9CE1707243A41,4498.560234877771,8011588,Vacant Residential,DELAND
0106000020BC0800000100000001030000000100000007000000A0F1D2CDACFF20414089417051223A4141A2D345A5FF20413C749F2339223A4180976E129FFF204120DBF9BE20223A41C0749398B0FE2041C076BE3F2E223A41985FC29FB7FE2041076008E549223A4180C2F528C0FE2041C09F1A6F65223A41A0F1D2CDACFF20414089417051223A41,4017.2815754793965,8011595,Vacant Residential,DELAND
0106000020BC0800000100000001030000000100000007000000A0438B4CB9FF2041C0F3FD0CC8203A410054E335CCFE204100D34D6AB5203A4160643B3FBFFE204120D9CE97DE203A41400C02BBBCFE2041000000D0E6203A41E0CEF7D3A9FF204100AAF172F9203A41E0CEF753ACFF204160128340F1203A41A0438B4CB9FF2041C0F3FD0CC8203A41,3652.1471759226206,8011602,Vacant Residential,DELAND
0106000020BC080000010000000103000000010000000600000020DBF99E695E244100AAF122F8AF3A4140B6F32D885C2441C0CCCC3C82AF3A41A0F1D25D6D5C2441806CE7AB7BAF3A4100022B47AB5B2441E0FBA9E946B03A41E0240641A25D2441608FC215C2B03A4120DBF99E695E244100AAF122F8AF3A41,8287.15705383103,8011728,Residential Common Elements/Areas,DAYTONA BEACH SHORES
0106000020BC0800000100000001030000000100000010000000E0CEF713837B2141C0F5287CE7CC39414008ACDCE9772141C0F7534BE6CC3941408941B0E9772141C0F7535313CD39412085EBE19F7B2141608FC28514CD394180EB51D8A07B2141E07A148614CD394100000000A17B214120DD2486F6CC3941B5DE92A4A07B214132E24F2DF4CC3941F4634A8E9F7B2141134E07E3F1CC3941EAC000C49D7B2141B1D6BAB5EFCC39410CD5FE509B7B2141627C23B3EDCC3941B90BB544987B21414009EDE7EBCC3941A6095AB2947B21418631665FEACC39419D8F71B0907B2141754C3923E9CC3941EF8D3E588C7B2141FE662F3BE8CC394151E723C5877B21415730FFACE7CC3941E0CEF713837B2141C0F5287CE7CC3941,22577.703167448253,8011825,Residential Common Elements/Areas,DELAND
0106000020BC0800000100000001030000000100000023000000809318F409D5234140B4C856A70D3A4140DF4F4DFFD42341405EBAE98E0D3A41606666A6F4D423414008AC7C760D3A4120B29DFFE9D42341E04F8D0F5E0D3A418068912DB7D5234180E926B1470D3A41A047E1EAB2D52341400AD7EB3D0D3A414008ACBCE5D4234140355E4A540D3A410054E315DBD42341E07C3FDD3B0D3A41C09F1A6FD0D42341E0263170230D3A4180EB51C8C5D42341A06E12030B0D3A41C0726821BBD42341A0180496F20C3A4100295C4F88D5234120B29D37DC0C3A41C0CCCC0C84D5234180976E72D20C3A41E051B8DEB6D42341A09BC4D0E80C3A4120D9CE37ACD42341A045B663D00C3A412031086CA4D42341E0FBA981BE0C3A41202FDDF48FD42341E0240651D50C3A418068917D7BD42341E04D6220EC0C3A41A0EFA70667D423418014AEEF020D3A4160643B8F52D42341803D0ABF190D3A41C0F3FDF492D32341806ABCC4EE0C3A4140B4C88677D3234100295C570D0D3A41E051B8EE73D3234100AAF17A110D3A41E0D0226B45D4234160BC74031F0D3A4160E5D0023FD42341E051B8CE370D3A412083C09A38D42341E022DB99500D3A4180976E3232D42341A01A2F65690D3A41A0703DCA2BD4234120B07230820D3A416091EDFC57D4234180C2F5E08D0D3A4100295C2F84D4234100D57891990D3A412085EB61B0D4234160E7FB41A50D3A4140E17A94DCD42341E0F97EF2B00D3A41E078E9C608D52341A06E12A3BC0D3A41400C029B14D52341806CE7C3BF0D3A41809318F409D5234140B4C856A70D3A41,17635.66583454328,8011859,Residential Common Elements/Areas,NEW SMYRNA BEACH
0106000020BC0800000100000001030000000100000007000000A0ED7C3FF3D32341E0A37025110B3A41203108FCECD32341608FC2BD0F0B3A41E0A59B84D8D3234160B81E8D260B3A41804160F5DED3234120DBF9FE270B3A41C09F1A1F98D4234100295C87510B3A41C0A14596ACD42341406210B83A0B3A41A0ED7C3FF3D32341E0A37025110B3A41,18069.277939258533,8011874,Vacant Residential,NEW SMYRNA BEACH
0106000020BC080000010000000103000000010000000700000000022BD703D32341200681C51E0C3A41A0F1D27DFBD22341E07A14E61C0C3A4140B4C806E7D2234140DF4FB5330C3A4140DF4F8DEFD223418016D99E350C3A4120AE47A1A6D3234120B29DAF5E0C3A4180EB5118BBD32341408941E0470C3A4100022BD703D32341200681C51E0C3A41,17996.45641870145,8011885,Vacant Residential,NEW SMYRNA BEACH
0106000020BC0800000100000001030000000100000009000000A01A2F5DF6D22341A0C420603C0D3A41200456EE0ED2234140621098320D3A41007F6ACC02D22341C0CCCC14320D3A4100819583F0D12341A0F1D275460D3A41A0C64B77EDD12341202FDD444A0D3A41C0CAA175F9D12341A0EFA7C64A0D3A4120AE47B1F2D2234160643B4F550D3A41A7987BDFF3D22341A43981D1480D3A41A01A2F5DF6D22341A0C420603C0D3A41,17917.265223649265,8011895,Vacant Residential,NEW SMYRNA BEACH
0106000020BC0800000100000001030000000100000009000000403789B106D32341E0D022BB9E0D3A41C020B002FBD2234140DF4FDD860D3A4100560EEDF3D22341A0703D8A870D3A418041609521D22341A047E19AAD0D3A41C07268C11DD223412058394CAE0D3A41C020B0A21FD2234160B81EE5B00D3A410054E3C52ED22341803F35CEC50D3A41803D0AE732D22341E078E90EC50D3A41403789B106D32341E0D022BB9E0D3A41,17864.986443469126,8011898,Vacant Residential,NEW SMYRNA BEACH
0106000020BC080000010000000103000000010000000900000020DD24C635D32341E0A7C693950E3A4140355E8AC8D3234180976EFA200E3A41BF05EFF9B3D32341428D59CD190E3A4100D34D32A0D32341E0263118120E3A41C07268B1F8D2234100AAF12A970E3A41799CD5F705D323416A7D571A980E3A4168F4C35F13D3234140D24C24980E3A41C01E85AB20D3234100D7A348970E3A4120DD24C635D32341E0A7C693950E3A41,17698.475741406313,8011905,Vacant Residential,NEW SMYRNA BEACH
0106000020BC080000010000000103000000010000000600000040621058BAD72341000000780D0F3A41408941B0AFD7234160128308F50E3A41202FDDA4D8D6234100D34D6A090F3A4120AE47A1DED62341E0A59B34190F3A418068910DE1D62341A0C42010220F3A4140621058BAD72341000000780D0F3A41,17163.818471727678,8011922,Vacant Residential,NEW SMYRNA BEACH
0106000020BC0800000100000001030000000100000005000000A047E18A66D6234140894140020C3A41E0CEF7E35BD62341403333D3E90B3A41202FDDB48ED52341E0FBA931000C3A41806CE75B99D52341E051B89E180C3A41A047E18A66D6234140894140020C3A41,17778.367421557992,8011951,Vacant Residential,NEW SMYRNA BEACH
0106000020BC08000001000000010300000001000000050000004062101864D52341400C022B890C3A4180E9267159D52341A01804BE700C3A41C0F753438CD42341007F6A1C870C3A4100AC1CEA96D42341403789899F0C3A414062101864D52341400C022B890C3A41,17795.084966890074,8011993,Vacant Residential,NEW SMYRNA BEACH
0106000020BC0800000100000001030000000100000005000000C0C876BEBAE91D4160E7FB092AC43B41007F6A3CB3E91D412083C0AAFDC43B4180BE9FBAFBEC1D41008195C3FAC43B41007F6ABCFBEC1D41408941002AC43B41C0C876BEBAE91D4160E7FB092AC43B41,6618.006263193438,2000252,Single Family,UNINCORPORATED - WESTSIDE
